story_id,story_name,geo_anchor_name,geo_anchor_type,latitude,longitude,region_label,time_start_year,time_end_year,time_midpoint_year,time_basis,time_confidence,geo_confidence,source_url,notes
FM-001,Genesis Flood / Noah,Jerusalem / Judean highlands,cultural_textual_anchor,31.7683,35.2137,Levant,-950,-450,-700,approximate_composition_redaction_range,low,medium,https://www.britannica.com/topic/Genesis-Old-Testament,"Use this as a textual/cultural anchor, not a flood-event location. Date range reflects broad Genesis source/redaction traditions; the flood story is composite and should not be treated as a single dated event."
FM-002,Gilgamesh Tablet XI / Utanapishtim,Nineveh / Library of Ashurbanipal,source_findspot_with_mesopotamian_cultural_anchor,36.3594,43.1529,Mesopotamia,-668,-627,-648,extant_tablet_attestation_range,high,high,https://www.britannica.com/topic/Epic-of-Gilgamesh,Anchor to Nineveh because the fullest extant version is from Ashurbanipal's library. Story tradition is older than this attestation.
FM-003,Atrahasis Flood,Babylonia / Old Babylonian Mesopotamia,textual_tradition_region,32.5364,44.42,Mesopotamia,-1700,-1600,-1650,old_babylonian_textual_attestation_approx,medium,medium,https://www.britannica.com/topic/myth-of-Atrahasis,"General Old Babylonian/Babylonian anchor. Use as tradition-region metadata, not precise findspot metadata."
FM-004,Eridu Genesis / Ziusudra,Nippur / Sumerian Mesopotamia,source_findspot_with_sumerian_cultural_anchor,32.1261,45.2351,Mesopotamia,-1600,-1600,-1600,written_form_attestation_approx,medium,medium,https://www.worldhistory.org/Eridu_Genesis/,Written form commonly dated around 1600 BCE; the narrative may preserve older tradition. Coordinates approximate the Nippur source/findspot-cultural anchor.
FM-005,Deucalion and Pyrrha,Mount Parnassus / Delphi region,story_setting_anchor,38.535,22.624,Greece,1,200,100,source_text_date_range_pseudo_apollodorus,medium,medium,https://en.wikipedia.org/wiki/Bibliotheca_(Apollodorus),"Geo anchor uses the mythic landing/place setting from Apollodorus rather than a text-production location. Date range is for the Bibliotheca source, not myth origin."
FM-006,Manu and the Fish,North India / Vedic cultural region,cultural_textual_anchor,29.9695,76.8783,India,-900,-700,-800,brahmana_period_approx,medium,low,https://www.britannica.com/topic/Brahmana,"Anchor is approximate for Vedic North India, not a precise composition site or flood location. Brahmana period used as approximate source context."
FM-007,Yu Controls the Flood,Central Plain / Yellow River cultural zone,story_cultural_region_anchor,34.6197,112.454,China,-371,-289,-330,mencius_life_text_context_approx,medium,medium,https://www.britannica.com/biography/Mencius-Chinese-philosopher,"Anchor to Central Plain/Yellow River zone for map purposes. Date range follows Mencius/Mengzi context, not the legendary time of Yu."
FM-008,Popol Vuh / Destruction of the Wooden People,K'iche' Maya highlands / Chichicastenango region,cultural_textual_anchor,14.944,-91.111,Mesoamerica,1554,1558,1556,alphabetic_kiche_text_composition_range,medium,medium,https://www.britannica.com/topic/Popol-Vuh,"Date range follows the K'iche' alphabetic text tradition; Ximenez copied/translated the manuscript in 1700-1715. Use as source-attestation metadata, not myth origin."
FM-009,Huarochirí / The Llama Warns of the Flood,Huarochirí Province / central Andes,source_recording_region_and_story_anchor,-12.1386,-76.23,Andes,1608,1608,1608,colonial_quechua_manuscript_date,high,high,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/374DA2C684596CF4563BE655C7ED36C9/9781108838832c9_137-150.pdf/the-flood-story-in-the-huarochiri-manuscript-and-other-early-colonial-andean-texts.pdf,Good geographic anchor because manuscript is tied to Huarochirí province. Treat as colonial recording of Andean oral tradition with possible biblical/Andean blending.
FM-010,Nahui Atl / Tata and Nene,Valley of Mexico / Central Mexico,cultural_textual_anchor,19.4326,-99.1332,Central Mexico,1558,1558,1558,leyenda_de_los_soles_manuscript_date,medium,medium,https://digitalcommons.montclair.edu/english-facpubs/119/,Anchor to Central Mexico/Valley of Mexico. Date follows the Leyenda de los Soles/Manuscript of 1558 framing; use as source-attestation metadata.
FM-011,Bergelmir and the Blood Flood,Iceland / Snorri's Prose Edda context,source_textual_anchor,64.663,-21.292,Norse / Icelandic,1222,1223,1222.5,prose_edda_composition_approx,medium,medium,https://www.britannica.com/topic/Prose-Edda,"Anchor is Icelandic textual context, not mythic location. Snorri is a medieval Christian Icelandic source for older Norse material."
FM-012,Nuʻu and the Hawaiian Flood,Mauna Kea / Hawaiʻi Island,story_setting_anchor_with_source_caution,19.8206,-155.4681,Hawaiʻi / Polynesia,1919,1920,1919.5,fornander_collection_volume_publication_range,medium,medium,https://www.self.gutenberg.org/eBooks/WPLBN0002096787-Fornander-Collection-of-Hawaiian-Antiquities-and-Folk-Lore-Vol-6-by-Abraham-Fornander.aspx,"Geo anchor uses Mauna Kea landing/survival motif. Date is publication/source-attestation context, not myth origin. Keep strong biblical-influence caution."
